Feature;Description;Tag
other interventions;traditional japanese medicine;Yes
other interventions;traditional korean medicine;Yes
other interventions;traditional mongolian medicine;Yes
other interventions;traditional persian medicine;Yes
other interventions;traditional tibetan medicine;Yes
other interventions;traditional vietnamese medicine;Yes
other interventions;trager approach;Yes
physical interventions;train;Yes
physical interventions;train program;Yes
physical interventions;training;Yes
physical interventions;training devices;Yes
physical interventions;training program;Yes
drug;tramadol;No
other interventions;trametes versicolor;Yes
nutritional interventions;trans fatty acids;Yes
invasive treatment;transcatheter;No
psychologic interventions;transcendental meditation;Yes
other interventions;transcranial magnetic stimulation;Yes
other exclusion words;transcriptase;No
other interventions;transcutaneous electric nerve stimulation;Yes
other interventions;transcutaneous electrical acupoint stimulation;Yes
other interventions;transcutaneous electrical nerve stimulation;Yes
other interventions;transcutaneous nerve stimulation;Yes
invasive treatment;transfusion;No
surgery;transplantation;No
surgery;transplants;No
drug;trastuzumab;No
other interventions;tremella fuciformis;Yes
other interventions;trial creatine;Yes
physical interventions;triathlon;Yes
other interventions;tribulus terrestris;Yes
other interventions;trichosanthes kirilowii ;Yes
other interventions;trichosanthis kirilowii;Yes
other interventions;trichosanthis japonica;Yes
drug;trifluoroacetyladriamycin;No
other interventions;trifolium;Yes
physical interventions;trigger points;Yes
other interventions;trigonella foenum graecum;Yes
drug;trimelamol;No
drug;trimexexate;No
drug;trimexexate glucoronate;No
other interventions;trionyx sinensis;Yes
other interventions;trionyx sinensis wiegmann;Yes
other interventions;tripterygium wilfordii;Yes
drug;trisodium ;No
nutritional interventions;triticum;Yes
other interventions;triticum aestivum;Yes
drug;trofosfamide;No
other interventions;tu bei mu;Yes
other interventions;tu bie chong;Yes
other interventions;tu ding gui;Yes
other interventions;tu fu ling;Yes
other interventions;tu jing jie;Yes
other interventions;tu mu xiang;Yes
other interventions;tu yuan;Yes
other interventions;tu zi zi;Yes
other interventions;tui na;Yes
other interventions;tulipa gesneriana;Yes
other interventions;tuoli xiaodu;Yes
other interventions;turmeric;Yes
other interventions;turpentine;Yes
other interventions;tussilago farfara ;Yes
other interventions;typha angustata;Yes
other interventions;typha latifolia  ;Yes
other interventions;typha orientalis;Yes
other interventions;ulmus fulva;Yes
other interventions;ulmus macrocarpa;Yes
other interventions;ulmus rubra;Yes
other interventions;ultrasonic therapy;Yes
medical examination;ultrasonographic;No
medical examination;ultrasonography;No
radiotherapy;ultrasound directed radiofrequency;No
physical interventions;ultrasound stimulators;Yes
other interventions;ultraviolet therapy;Yes
other interventions;unani;Yes
other interventions;uncaria sinensis ;Yes
psychologic interventions;unconventional medicine;Yes
other interventions;undaria pinnatifida;Yes
other interventions;unmet supportive care;Yes
nutritional interventions;unsaturated fatty acids;Yes
drug;uracil;No
other interventions;urine therapy;Yes
surgery;urostomy;No
drug;ursodeoxy cholic acid;No
other interventions;urtica dioica;Yes
other interventions;urtica thunbergiana;Yes
other interventions;urtica urens;Yes
numerical interventions;user computer interface;Yes
drug;vaccine;No
other interventions;vaccinium myrtillus;Yes
other interventions;vaginal creams;Yes
other interventions;vaginal creams foams and jellies;Yes
other interventions;vaginal lubricating preparation;Yes
other interventions;valerian;Yes
other interventions;valeriana officinalis;Yes
drug;valspodar;No
numerical interventions;vaping;Yes
drug;vapreotide;No
nutritional interventions;vegan;Yes
nutritional interventions;vegan diet;Yes
nutritional interventions;vegetable;Yes
nutritional interventions;vegetable juices;Yes
nutritional interventions;vegetables;Yes
nutritional interventions;vegetarian;Yes
nutritional interventions;vegetarian diet;Yes
drug;veliparib;No
drug;verapamil;No
other interventions;veratrum nigrum;Yes
other interventions;verbena officinalic  ;Yes
other interventions;vernonia cinerea;Yes
other interventions;vespertilio superans;Yes
physical interventions;vests;Yes
physical interventions;vibration stimulus;Yes
physical interventions;vibration training;Yes
other interventions;vicia faba;Yes
other interventions;vida;Yes
psychologic interventions;video base education;Yes
psychologic interventions;video game;Yes
psychologic interventions;video games;Yes
psychologic interventions;video music therapy;Yes
numerical interventions;video recording;Yes
numerical interventions;videoconferencing;Yes
psychologic interventions;videoconferencing parenting intervention;Yes
psychologic interventions;videotape presentation;Yes
numerical interventions;videotape recording;Yes
physical interventions;vigorous exercise program;Yes
drug;vinblastine;No
drug;vincristine ;No
drug;vindesine;No
physical interventions;viniyoga;Yes
drug;vinorelbine;No
physical interventions;vinyasa;Yes
other interventions;viola chinensis ;Yes
physical interventions;vipassana;Yes
numerical interventions;virtual reality;Yes
numerical interventions;virtual reality exposure therapy;Yes
drug;virulizin;No
nutritional interventions;vitamin;Yes
nutritional interventions;vitamin a;Yes
nutritional interventions;vitamin b complex;Yes
nutritional interventions;vitamin b12;Yes
nutritional interventions;vitamin b6;Yes
nutritional interventions;vitamin c;Yes
nutritional interventions;vitamin d;Yes
nutritional interventions;vitamin e;Yes
nutritional interventions;vitamin k;Yes
nutritional interventions;vitamin k1;Yes
nutritional interventions;vitamin k2;Yes
nutritional interventions;vitamin k3;Yes
nutritional interventions;vitamins;Yes
other interventions;vitex;Yes
other interventions;vitex trifolia;Yes
other interventions;vitis adstricta;Yes
other interventions;vitis quinquangularis;Yes
other interventions;vitis vinifera;Yes
other interventions;volatile oil;Yes
other interventions;wa leng zi;Yes
physical interventions;walk;Yes
physical interventions;walking;Yes
other interventions;wan nian qing;Yes
other interventions;wan tao hua;Yes
other interventions;wang buiu xing;Yes
other interventions;wang jiang nan zi;Yes
other interventions;wang ye kui;Yes
physical interventions;warmers;Yes
nutritional interventions;water cure;Yes
physical interventions;water exercise program;Yes
physical interventions;water program;Yes
physical interventions;water therapy program;Yes
nutritional interventions;watercress juice;Yes
physical interventions;wave therapy;Yes
nutritional interventions;weekly nutrition;Yes
other interventions;wei ling xian;Yes
other interventions;weichang an;Yes
nutritional interventions;weight fucoidan;Yes
nutritional interventions;weight gain;Yes
physical interventions;weight lifting;Yes
nutritional interventions;weight loss;Yes
nutritional interventions;weight management program;Yes
nutritional interventions;weight reduction;Yes
other interventions;weimeisu;Yes
other interventions;weining;Yes
other interventions;wen jing;Yes
other interventions;wenshen xiaozheng;Yes
nutritional interventions;western;Yes
nutritional interventions;western diet;Yes
nutritional interventions;wheat;Yes
nutritional interventions;whey;Yes
nutritional interventions;white meat;Yes
other interventions;white tea;Yes
physical interventions;whole body vibration;Yes
other interventions;wild yam;Yes
other interventions;willow bark;Yes
nutritional interventions;wine;Yes
other interventions;wisteria sinensis;Yes
psychologic interventions;witchcraft;Yes
other interventions;withania;Yes
other interventions;withania somnifera;Yes
physical interventions;wrestling;Yes
psychologic interventions;write intervention;Yes
psychologic interventions;writing;Yes
other interventions;wu gong;Yes
other interventions;wu hua guo;Yes
other interventions;wu huan zi;Yes
other interventions;wu jia pi;Yes
other interventions;wu jiu;Yes
other interventions;wu ling zhi;Yes
other interventions;wu mei;Yes
other interventions;wu qing;Yes
other interventions;wu shao she;Yes
other interventions;wu tou;Yes
other interventions;wu yi;Yes
other interventions;wu zhao jinong;Yes
other interventions;wu zhao long;Yes
other interventions;wu zhi mao tao;Yes
other interventions;wu zhu yu;Yes
other interventions;wuye;Yes
other interventions;xanthium strumarium    ;Yes
other interventions;xanthoxylum piperitum  ;Yes
drug;xelox;No
other interventions;xi bo li ya xing ren;Yes
other interventions;xi gua;Yes
other interventions;xi he liu;Yes
other interventions;xi qian cao;Yes
other interventions;xi shu;Yes
other interventions;xi shu guo;Yes
other interventions;xi xin;Yes
other interventions;xi ye bai tou weng;Yes
other interventions;xia ku cao;Yes
other interventions;xia ye fan xie;Yes
other interventions;xian he cao;Yes
other interventions;xian ren zhang;Yes
other interventions;xiang cai;Yes
other interventions;xiang fu zi;Yes
other interventions;xiang gu;Yes
other interventions;xiang jia pi;Yes
other interventions;xiang lin tou;Yes
other interventions;xiang mao;Yes
other interventions;xiang ru;Yes
other interventions;xiao bai ju;Yes
other interventions;xiao dou kou;Yes
other interventions;xiao hao;Yes
other interventions;xiao hua gui zhen cao;Yes
other interventions;xiao hui xiang;Yes
other interventions;xiao ji;Yes
other interventions;xiao jin;Yes
other interventions;xiao long ji;Yes
other interventions;xiao suan mo;Yes
other interventions;xiaozheng zhitong;Yes
other interventions;xie;Yes
other interventions;xie bai;Yes
other interventions;xie cao;Yes
other interventions;xin jiang qian li guang;Yes
other interventions;xin tong zi;Yes
other interventions;xin ye qing niu dan;Yes
other interventions;xin yi;Yes
other interventions;xing ren;Yes
other interventions;xiong huang;Yes
other interventions;xiong mei;Yes
other interventions;xu chang qing;Yes
other interventions;xu duan;Yes
other interventions;xu sui zi;Yes
other interventions;xuan fu hua;Yes
other interventions;xuan hua;Yes
other interventions;xuan ming fen;Yes
other interventions;xuan shen;Yes
other interventions;xue er;Yes
other interventions;xue jie;Yes
other interventions;xue lian;Yes
other interventions;xue shang yi zhi;Yes
other interventions;xun gu feng;Yes
other interventions;xun ma;Yes
other interventions;xylitol gum;Yes
other interventions;ya dan zi;Yes
other interventions;ya jiao;Yes
other interventions;ya ma;Yes
other interventions;ya pian;Yes
other interventions;yan fu mu;Yes
other interventions;yan hu suo;Yes
other interventions;yan huang lian;Yes
other interventions;yan wo;Yes
other interventions;yan zao ju tang liu suan zhi;Yes
other interventions;yang gan ju;Yes
other interventions;yang hui xiang;Yes
other interventions;yang qi shi;Yes
other interventions;yang ti;Yes
other interventions;yangyin jiedu;Yes
surgery;Yankauers;No
invasive treatment;yanshu injection;No
other interventions;yao zi cao;Yes
other interventions;ye ju hua;Yes
other interventions;ye lai xiang;Yes
other interventions;ye ming sha;Yes
other interventions;ye pu tao teng;Yes
other interventions;ye tang hao;Yes
other interventions;ye xia zhu;Yes
other interventions;ye zi;Yes
nutritional interventions;yeast dried;Yes
nutritional interventions;yeast supplementation;Yes
other interventions;yi cao;Yes
other interventions;yi lie ye san qi cao;Yes
other interventions;yi mu cao;Yes
other interventions;yi pi chou;Yes
other interventions;yi tang;Yes
other interventions;yi tiao gen;Yes
other interventions;yi ye mao guo yun xiang;Yes
other interventions;yi yi ren;Yes
other interventions;yi zhi huang hua;Yes
other interventions;yi zhi ren;Yes
other interventions;yi zhi xiang;Yes
other interventions;yifei kangliu yin;Yes
other interventions;yiguan;Yes
other interventions;yin chai hu;Yes
other interventions;yin du fang ji;Yes
other interventions;yin du ku lian;Yes
other interventions;yin er;Yes
other interventions;yin hao;Yes
other interventions;yin he huan;Yes
other interventions;yin yang huo;Yes
other interventions;yin yin gen;Yes
other interventions;yin yu;Yes
other interventions;ying ao;Yes
other interventions;ying shi;Yes
other interventions;yiqi chutan;Yes
other interventions;yiqi huayu hutan;Yes
other interventions;yiqi huoxue;No
other interventions;yiqi jiedu quyu;Yes
physical interventions;yoga;Yes
nutritional interventions;yoghurt;Yes
nutritional interventions;yogurt;Yes
other interventions;yohimbe;Yes
other interventions;yong jiu hua;Yes
other interventions;you;Yes
other interventions;you dun cao cao;Yes
other interventions;yqhx;Yes
other interventions;yu gan zi;Yes
other interventions;yu jin;Yes
other interventions;yu jin xiang;Yes
other interventions;yu mi xu;Yes
other interventions;yu shu shu;Yes
other interventions;yu yu liang;Yes
other interventions;yu zan hua;Yes
other interventions;yu zhu;Yes
other interventions;yuan hua;Yes
other interventions;yuan qing;Yes
other interventions;yuan sui;Yes
other interventions;yuan wei;Yes
other interventions;yuan zhi;Yes
other interventions;yue xia xiang;Yes
other interventions;yun nan ma dou ling;Yes
other interventions;yun zhi;Yes
other interventions;yunzhi;Yes
other interventions;yunzhi danshen;Yes
other interventions;zao fan;Yes
other interventions;zao jia;Yes
other interventions;zao jiao;Yes
other interventions;zao jiao ci;Yes
other interventions;zaocys dhumnades;Yes
other interventions;ze lan;Yes
other interventions;ze xie;Yes
other interventions;zea mays;Yes
other interventions;zearalenone;Yes
other interventions;zeaxanthin;Yes
other interventions;zhan mao ye mu dan;Yes
other interventions;zhang nao;Yes
other interventions;zhao xian bai tou weng;Yes
other interventions;zhe bei;Yes
other interventions;zhe chong;Yes
other interventions;zhen di feng;Yes
other interventions;zhen zhu cao;Yes
other interventions;zhen zhu mu;Yes
other interventions;zhi ke;Yes
other interventions;zhi ma;Yes
other interventions;zhi mu;Yes
other interventions;zhi shi;Yes
other interventions;zhi zhu cao;Yes
other interventions;zhiling;Yes
other interventions;zhu dan;Yes
other interventions;zhu jie ren shen;Yes
other interventions;zhu ling;Yes
other interventions;zhu ru;Yes
other interventions;zhu shaian;Yes
other interventions;zhu ye;Yes
other interventions;zhu zi cao;Yes
other interventions;zhui di feng;Yes
other interventions;zhuling ;Yes
other interventions;zi bei tian kui;Yes
other interventions;zi cai;Yes
other interventions;zi ding xiang;Yes
other interventions;zi gen cao;Yes
other interventions;zi he che;Yes
other interventions;zi hua di ding;Yes
other interventions;zi hua song guo ju;Yes
other interventions;zi jiang;Yes
other interventions;zi jing pi;Yes
other interventions;zi ran;Yes
other interventions;zi ran tong;Yes
other interventions;zi su;Yes
other interventions;zi teng;Yes
other interventions;zi wan;Yes
other interventions;zi zhui ju;Yes
drug;zidovudine;No
nutritional interventions;zinc;Yes
nutritional interventions;zinc sulfate;Yes
other interventions;zingiber cassumunar ;Yes
other interventions;zingiber nigrum;Yes
other interventions;zingiber offcinale;Yes
other interventions;zingiber zerumbet;Yes
drug;zinostatin stimalamer;No
other interventions;zizyphus vulgaris;Yes
nutritional interventions;zn;Yes
drug;zoladex;No
other interventions;zong lu pi;Yes
other interventions;zuan di feng;Yes
physical interventions;zusanli;Yes
